FID,Join_Count,TARGET_FID,Id,Shape_Leng,Shape_Area,Id_1,gridcode,DOXY_MN
0,4,1,1,1572039.882,1.51725E+11,0,24596434,245.96434
1,4,2,2,1439332.239,1.22179E+11,0,28023538,280.23538
2,4,3,3,1045796.3,34562558637,0,37217760,372.1776
3,4,4,4,1643591.454,1.67655E+11,0,22363664,223.63664
4,3,5,5,1675767.549,1.7238E+11,0,20571726,205.71726
5,4,6,6,1439881.255,1.22301E+11,0,31810264,318.10264
6,6,7,7,4394717.133,1.67622E+11,0,19976136,199.76136
7,4,8,8,1572039.882,1.51725E+11,0,22374810,223.7481
8,4,9,9,1440563.846,1.11119E+11,0,30449530,304.4953
9,4,10,10,1777597.481,1.96905E+11,0,20541636,205.41636
10,4,11,11,1045796.3,34562558637,0,36106592,361.06592
11,4,12,12,1337535.702,99515122058,0,30182052,301.82052
12,4,13,13,1752700.961,1.8937E+11,0,20320554,203.20554
13,4,14,14,1786417.56,1.96897E+11,0,19892080,198.9208
14,2,15,15,983885.745,20778855806,0,36238792,362.38792
15,4,16,16,1531118.199,1.42614E+11,0,24568938,245.68938
16,6,17,17,2698444.314,1.34154E+11,0,20092050,200.9205
17,4,18,18,1486482.832,1.32677E+11,0,31538888,315.38888
18,4,19,19,1282796.024,87327935917,0,34583740,345.8374
19,2,20,20,1724135.161,71970881873,0,23121636,231.21636
20,4,21,21,1282796.024,87327935917,0,34443584,344.43584
21,4,22,22,1174242.871,13934480133,0,34933324,349.33324
22,4,23,23,1776070.664,1.9505E+11,0,20609796,206.09796
23,4,24,24,1389981.67,1.11192E+11,0,30301300,303.013
24,4,25,25,1842315.833,1.85116E+11,0,20527630,205.2763
25,4,26,26,1772901.931,1.96445E+11,0,20822248,208.22248
26,4,27,27,1225379.341,74544744042,0,32393588,323.93588
27,5,28,28,2148642.264,37445197945,0,37096284,370.96284
28,3,29,29,851469.0036,10966196202,0,20812854,208.12854
29,0,30,30,519533.9492,1319408782,0,0,0
30,6,31,31,1548599.615,11776185454,0,20744434,207.44434
31,4,32,32,1531118.199,1.42614E+11,0,24227964,242.27964
32,7,33,33,4433219.006,1.35009E+11,0,19869994,198.69994
33,4,34,34,1337535.702,99515122080,0,34930244,349.30244
34,4,35,35,1531118.199,1.42614E+11,0,26212174,262.12174
35,4,36,36,1756077.902,1.92699E+11,0,21327770,213.2777
36,4,37,37,1766547.624,1.9503E+11,0,20778810,207.7881
37,6,38,38,434748.2149,3916716482,0,35469600,354.696
38,4,39,39,1609584.555,1.60084E+11,0,23138862,231.38862
39,4,40,40,1045796.3,34562558637,0,37150404,371.50404
40,4,41,41,1282796.024,87327935917,0,33711236,337.11236
41,10,42,42,3268464.652,61775814386,0,27276758,272.76758
42,4,43,43,1337535.702,99515122058,0,34847620,348.4762
43,4,44,44,1389402.517,1.11063E+11,0,27368408,273.68408
44,4,45,45,1389981.67,1.11192E+11,0,28930176,289.30176
45,4,46,46,1106892.171,48164881225,0,38064196,380.64196
46,4,47,47,1531118.199,1.42614E+11,0,26241706,262.41706
47,4,48,48,1785912.139,1.85126E+11,0,19988382,199.88382
48,4,49,49,1439332.239,1.22179E+11,0,29860748,298.60748
49,4,50,50,1531118.199,1.42614E+11,0,26258210,262.5821
50,4,51,51,1337535.702,99515122058,0,31054996,310.54996
51,6,52,52,2773931.766,1.64516E+11,0,20109794,201.09794
52,4,53,53,1673918.497,1.74407E+11,0,22359988,223.59988
53,5,54,54,1889574.985,17043716875,0,34059828,340.59828
54,4,55,55,1337535.702,99515122080,0,31611756,316.11756
55,4,56,56,1722822.561,1.85295E+11,0,21036962,210.36962
56,3,57,57,3038820.065,1.2434E+11,0,23474748,234.74748
57,34,58,58,5360061.058,12405449770,0,30064758,300.64758
58,4,59,59,1226031.587,74689959517,0,34520848,345.20848
59,4,60,60,1389981.67,1.11192E+11,0,28861408,288.61408
60,4,61,61,1389981.67,1.11192E+11,0,29912522,299.12522
61,4,62,62,1572039.882,1.51725E+11,0,24652456,246.52456
62,4,63,63,1609584.555,1.60084E+11,0,22877258,228.77258
63,4,64,64,1572039.881,1.51725E+11,0,24545646,245.45646
64,4,65,65,1167526.234,61664387293,0,31983558,319.83558
65,4,66,66,1572039.882,1.51725E+11,0,24958128,249.58128
66,4,67,67,1772901.931,1.96445E+11,0,19912482,199.12482
67,6,68,68,2159853.08,68700605664,0,33228814,332.28814
68,3,69,69,1465708.091,43856883336,0,29264804,292.64804
69,10,70,70,2569968.698,20671681087,0,37669104,376.69104
70,4,71,71,1282796.024,87327935897,0,33782972,337.82972
71,4,72,72,1337535.702,99515122080,0,34828792,348.28792
72,4,73,73,1766547.624,1.9503E+11,0,20456838,204.56838
73,4,74,74,1772901.931,1.96445E+11,0,20075980,200.7598
74,7,75,75,2453767.984,70108919397,0,34328992,343.28992
75,4,76,76,725008.6969,7504254592,0,33508118,335.08118
