FID,Join_Count,TARGET_FID,Id,Shape_Leng,Shape_Area,ASSESSMENT,ID_NO,BINOMIAL,PRESENCE,ORIGIN,SEASONAL,COMPILER,YEAR,CITATION,LEGEND,Latitude,Longitude
0,3,0,0,1572039.882,1.51725E+11,6747343,170322,Kajikia albida,1,1,1,Jonnell Sanciangco,2011,International Union for Conservation of Nature (IUCN),Extant (resident),-39.97738914,-13.99998854
1,1,1,0,1439332.239,1.22179E+11,15603540,15522149,Coryphaenoides rupestris,1,1,1,GMSA,2015,International Union for Conservation of Nature,Extant (resident),52.02261086,-25.99998854
2,0,2,0,1045796.3,34562558637,0,0, ,0,0,0, ,0, , ,80.02261086,-117.9999885
3,2,3,0,1643591.454,1.67655E+11,6743776,170314,Makaira nigricans,1,1,1,Jonnell Sanciangco,2011,International Union for Conservation of Nature (IUCN),Extant (resident),-31.97738914,74.00001146
4,15,4,0,1675767.549,1.7238E+11,2006676,191823,Megalops atlanticus,1,1,1,Marine Biodiversity Unit,2012,International Union for Conservation of Nature (IUCN),Extant (resident),3.820825091,-10.16956752
5,1,5,0,1439881.255,1.22301E+11,9328286,21858,Thunnus maccoyii,1,1,1,Jonnell Sanciangco,2011,International Union for Conservation of Nature (IUCN),Extant (resident),-51.97738914,42.00001146
6,17,6,0,4394717.133,1.67622E+11,1888295,188528,Amblyglyphidodon batunai,1,1,1,IUCN Marine Biodiversity Unit/GMSA,2016,IUCN Marine Biodiversity Unit/GMSA,Extant (resident),12.08126747,126.1689468
7,1,7,0,1572039.882,1.51725E+11,9328286,21858,Thunnus maccoyii,1,1,1,Jonnell Sanciangco,2011,International Union for Conservation of Nature (IUCN),Extant (resident),-39.97738914,26.00001146
8,0,8,0,1440563.846,1.11119E+11,0,0, ,0,0,0, ,0, , ,-55.97816596,-61.99876686
9,16,9,0,1777597.481,1.96905E+11,4599309,154657,Bathygobius lineatus,1,1,1, ,2012,International Union for Conservation of Nature (IUCN),Extant (resident),0.022599112,-94.00000289
10,0,10,0,1045796.3,34562558637,0,0, ,0,0,0, ,0, , ,80.02261086,86.00001146
