FID,Join_Count,TARGET_FID,Id,Shape_Leng,Shape_Area,Id_1,gridcode,PPROD_MN
0,4,1,1,1572039.882,1.51725E+11,0,440,0.0044
1,4,2,2,1439332.239,1.22179E+11,0,539,0.00539
2,4,3,3,1045796.3,34562558637,0,34,0.00034
3,4,4,4,1643591.454,1.67655E+11,0,101,0.00101
4,3,5,5,1675767.549,1.7238E+11,0,1079,0.01079
5,3,6,6,1439881.255,1.22301E+11,0,284,0.00284
6,6,7,7,4394717.133,1.67622E+11,0,113,0.00113
7,4,8,8,1572039.882,1.51725E+11,0,1400,0.014
8,4,9,9,1440563.846,1.11119E+11,0,1025,0.01025
9,4,10,10,1777597.481,1.96905E+11,0,728,0.00728
10,4,11,11,1045796.3,34562558637,0,86,0.00086
11,4,12,12,1337535.702,99515122058,0,269,0.00269
12,4,13,13,1752700.961,1.8937E+11,0,134,0.00134
13,4,14,14,1786417.56,1.96897E+11,0,485,0.00485
14,2,15,15,983885.745,20778855806,0,80,0.0008
15,4,16,16,1531118.199,1.42614E+11,0,550,0.0055
16,6,17,17,2698444.314,1.34154E+11,0,451,0.00451
17,4,18,18,1486482.832,1.32677E+11,0,676,0.00676
18,4,19,19,1282796.024,87327935917,0,226,0.00226
19,2,20,20,1724135.161,71970881873,0,215,0.00215
20,3,21,21,1282796.024,87327935917,0,220,0.0022
21,4,22,22,1174242.871,13934480133,0,206,0.00206
22,4,23,23,1776070.664,1.9505E+11,0,1087,0.01087
23,4,24,24,1389981.67,1.11192E+11,0,338,0.00338
24,4,25,25,1842315.833,1.85116E+11,0,10,0.0001
25,4,26,26,1772901.931,1.96445E+11,0,1771,0.01771
26,4,27,27,1225379.341,74544744042,0,438,0.00438
27,5,28,28,2148642.264,37445197945,0,48,0.00048
28,3,29,29,851469.0036,10966196202,0,1967,0.01967
29,0,30,30,519533.9492,1319408782,0,0,0
30,6,31,31,1548599.615,11776185454,0,3816,0.03816
31,4,32,32,1531118.199,1.42614E+11,0,692,0.00692
32,7,33,33,4433219.006,1.35009E+11,0,265,0.00265
33,4,34,34,1337535.702,99515122080,0,202,0.00202
34,4,35,35,1531118.199,1.42614E+11,0,548,0.00548
35,4,36,36,1756077.902,1.92699E+11,0,299,0.00299
