FID,Join_Count,TARGET_FID,Id,Shape_Leng,Shape_Area,Id_1,gridcode,SST_MEAN
0,4,1,1,1572039.882,1.51725E+11,0,1839812,18.39812
1,4,2,2,1439332.239,1.22179E+11,0,930062,9.30062
2,1,3,3,1045796.3,34562558637,0,-179000,-1.79
3,4,4,4,1643591.454,1.67655E+11,0,2296125,22.96125
4,3,5,5,1675767.549,1.7238E+11,0,2887000,28.87
5,4,6,6,1439881.255,1.22301E+11,0,531375,5.31375
6,4,7,7,4394717.133,1.67622E+11,0,2700750,27.0075
7,4,8,8,1572039.882,1.51725E+11,0,2106375,21.06375
8,4,9,9,1440563.846,1.11119E+11,0,872866,8.72866
9,4,10,10,1777597.481,1.96905E+11,0,2641937,26.41937
10,3,11,11,1045796.3,34562558637,0,-178937,-1.78937
11,4,12,12,1337535.702,99515122058,0,581250,5.8125
12,4,13,13,1752700.961,1.8937E+11,0,2558062,25.58062
13,4,14,14,1786417.56,1.96897E+11,0,2959125,29.59125
14,2,15,15,983885.745,20778855806,0,-176250,-1.7625
15,4,16,16,1531118.199,1.42614E+11,0,1639125,16.39125
16,4,17,17,2698444.314,1.34154E+11,0,2729875,27.29875
17,4,18,18,1486482.832,1.32677E+11,0,338687,3.38687
18,4,19,19,1282796.024,87327935917,0,13812,0.13812
19,3,20,20,1724135.161,71970881873,0,1790857,17.90857
20,4,21,21,1282796.024,87327935917,0,-32125,-0.32125
21,5,22,22,1174242.871,13934480133,0,-18437,-0.18437
22,4,23,23,1776070.664,1.9505E+11,0,2691562,26.91562
23,4,24,24,1389981.67,1.11192E+11,0,712875,7.12875
24,4,25,25,1842315.833,1.85116E+11,0,2544062,25.44062
25,4,26,26,1772901.931,1.96445E+11,0,2422875,24.22875
26,4,27,27,1225379.341,74544744042,0,274249,2.74249
27,3,28,28,2148642.264,37445197945,0,-178444,-1.78444
28,2,29,29,851469.0036,10966196202,0,2846500,28.465
29,0,30,30,519533.9492,1319408782,0,0,0
30,3,31,31,1548599.615,11776185454,0,2633666,26.33666
31,4,32,32,1531118.199,1.42614E+11,0,1665875,16.65875
