"","FID","SUM_Length","DOXY_MN","PPROD_MN","SST_MEAN","Join_Count","Latitude","Longitude","BINOMIAL","LEGEND","WDPA_PID","NAME","DESIG","DESIG_TYPE","IUCN_CAT","GIS_AREA","label"
"1",0,0,245.96434,0.0044,18.39812,3,-39.97738914,-13.99998854,"Kajikia albida","Extant (resident)"," "," "," "," "," ",0,"SOUTH ATLANTIC OCEAN"
"2",0,0,245.96434,0.0044,18.39812,3,-39.97738914,-13.99998854,"Thunnus maccoyii","Extant (resident)"," "," "," "," "," ",0,"SOUTH ATLANTIC OCEAN"
"3",0,0,245.96434,0.0044,18.39812,3,-39.97738914,-13.99998854,"Mola mola","Extant (resident)"," "," "," "," "," ",0,"SOUTH ATLANTIC OCEAN"
"4",1,0,280.23538,0.00539,9.30062,1,52.02261086,-25.99998854,"Coryphaenoides rupestris","Extant (resident)","555557228","Charlie-Gibbs North High Seas MPA","Marine Protected Area (OSPAR)","Regional","Not Applicable",177299.6281,"NORTH ATLANTIC OCEAN"
"5",2,0,372.1776,0.00034,-1.79,0,80.02261086,-117.9999885," "," "," "," "," "," "," ",0,"ARCTIC OCEAN"
"6",3,0,223.63664,0.00101,22.96125,2,-31.97738914,74.00001146,"Makaira nigricans","Extant (resident)"," "," "," "," "," ",0,"INDIAN OCEAN"
"7",3,0,223.63664,0.00101,22.96125,2,-31.97738914,74.00001146,"Thunnus maccoyii","Extant (resident)"," "," "," "," "," ",0,"INDIAN OCEAN"
"8",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Megalops atlanticus","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
"9",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Balistes punctatus","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
"10",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Makaira nigricans","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
"11",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Kajikia albida","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
"12",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Sardinella maderensis","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
"13",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Pentanemus quinquarius","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
"14",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Pseudupeneus prayensis","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
"15",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Trachurus trachurus","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
"16",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Pseudotolithus senegalensis","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
"17",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Hippocampus algiricus","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
"18",4,313.3862083,205.71726,0.01079,28.87,15,3.820825091,-10.16956752,"Balistes capriscus","Extant (resident)"," "," "," "," "," ",0,"NORTH ATLANTIC OCEAN"
